feature,shap,value,customer_index,feature_korean,mean1,mean2
WingsCount,0.5883066487684846,1,1,와이파이 확장기 수,윙즈(와이파이 확장기) 사용,SK 브로드밴드의 부가서비스를 이용
InternetProductName,0.1075722173252143,기가라이트,1,인터넷 상품명,기가인터넷 사용,기가인터넷 이용
MonthlyDeviceNumber,0.0820204686198849,13,1,와이파이 접속 기기 수,데이터 사용량 많음,인터넷 사용량이 많은 편이라 IPTV 이용에 적합합니다.
InternetProductName,0.0871799420390743,기가라이트,2,인터넷 상품명,기가인터넷 사용,기가인터넷 이용
MonthlyDeviceNumber,0.011360334069468,6,2,와이파이 접속 기기 수,데이터 사용량 많음,인터넷 사용량이 많은 편이라 IPTV 이용에 적합합니다.
WifiSubscriptionYesNo,0.0010985091142356,Y,2,와이파이 공유기 사용 여부,와이파이 사용,와이파이 사용
TotalOctetTransmitted_GB,0.1133885287883458,3.190100286,4,와이파이 사용 데이터 송신량,데이터 사용량 많음,인터넷 사용량이 많은 편이라 IPTV 이용에 적합합니다.
InternetProductName,0.0983892775978893,기가라이트,4,인터넷 상품명,기가인터넷 사용,기가인터넷 이용
WifiSubscriptionYesNo,0.0003075825516134,Y,4,와이파이 공유기 사용 여부,와이파이 사용,와이파이 사용
MonthlyDeviceNumber,0.130519692034868,10,5,와이파이 접속 기기 수,데이터 사용량 많음,인터넷 사용량이 많은 편이라 IPTV 이용에 적합합니다.
InternetProductName,0.0962207052588928,기가라이트,5,인터넷 상품명,기가인터넷 사용,기가인터넷 이용
WifiSubscriptionYesNo,0.0010985091142356,Y,5,와이파이 공유기 사용 여부,와이파이 사용,와이파이 사용
MonthlyDeviceNumber,0.0601942203927319,14,6,와이파이 접속 기기 수,데이터 사용량 많음,인터넷 사용량이 많은 편이라 IPTV 이용에 적합합니다.
InternetProductName,0.042388687855564,기가,6,인터넷 상품명,기가인터넷 사용,기가인터넷 이용
WifiSubscriptionYesNo,0.0010985091142356,Y,6,와이파이 공유기 사용 여부,와이파이 사용,와이파이 사용
ReAgreementYesNo,1.139397487466922,Y,7,재약정 여부,재약정함,재약정 이력이 있음
TotalOctetTransmitted_GB,0.1022995183512102,2.575070004,8,와이파이 사용 데이터 송신량,데이터 사용량 많음,인터넷 사용량이 많은 편이라 IPTV 이용에 적합합니다.
WifiSubscriptionYesNo,0.0003515229187905,Y,8,와이파이 공유기 사용 여부,와이파이 사용,와이파이 사용
MaxServiceAfscrbPassoverPeriod,0.1585030019271653,64,9,서비스 가입 후 경과 기간(월),장기고객,SK 브로드밴드 장기 이용 고객
TotalOctetReceived_GB,0.1535382909321924,132.0,9,와이파이 사용 데이터 수신량,데이터 사용량 많음,인터넷 사용량이 많은 편이라 IPTV 이용에 적합합니다.
InternetProductName,0.1016430047212634,기가라이트,9,인터넷 상품명,기가인터넷 사용,기가인터넷 이용
InternetProductName,0.1265031821315642,기가라이트,10,인터넷 상품명,기가인터넷 사용,기가인터넷 이용
MonthlyDeviceNumber,0.100680188749684,16,10,와이파이 접속 기기 수,데이터 사용량 많음,인터넷 사용량이 많은 편이라 IPTV 이용에 적합합니다.
WifiSubscriptionYesNo,0.0010985091142356,Y,10,와이파이 공유기 사용 여부,와이파이 사용,와이파이 사용
InternetProductName,0.1233291630691383,기가라이트,11,인터넷 상품명,기가인터넷 사용,기가인터넷 이용
TotalOctetReceived_GB,0.1016506659437436,77.458705431,11,와이파이 사용 데이터 수신량,데이터 사용량 많음,인터넷 사용량이 많은 편이라 IPTV 이용에 적합합니다.
WifiSubscriptionYesNo,0.0010985091142356,Y,11,와이파이 공유기 사용 여부,와이파이 사용,와이파이 사용
MaxServiceAfscrbPassoverPeriod,0.2549314630893059,59,12,서비스 가입 후 경과 기간(월),장기고객,SK 브로드밴드 장기 이용 고객
TotalOctetReceived_GB,0.174789569224813,151.0,12,와이파이 사용 데이터 수신량,데이터 사용량 많음,인터넷 사용량이 많은 편이라 IPTV 이용에 적합합니다.
InternetProductName,0.0725604297488462,기가,12,인터넷 상품명,기가인터넷 사용,기가인터넷 이용
WingsCount,0.6885794488014654,1,13,와이파이 확장기 수,윙즈(와이파이 확장기) 사용,SK 브로드밴드의 부가서비스를 이용
TotalOctetReceived_GB,0.2911274076334667,208.0,13,와이파이 사용 데이터 수신량,데이터 사용량 많음,인터넷 사용량이 많은 편이라 IPTV 이용에 적합합니다.
InternetProductName,0.0707776172488229,기가,13,인터넷 상품명,기가인터넷 사용,기가인터넷 이용
InternetProductName,0.0118950989306904,기가,14,인터넷 상품명,기가인터넷 사용,기가인터넷 이용
TotalOctetReceived_GB,0.0831856953341048,14.282842842,15,와이파이 사용 데이터 수신량,데이터 사용량 많음,인터넷 사용량이 많은 편이라 IPTV 이용에 적합합니다.
InternetProductName,0.0645745526626706,기가,15,인터넷 상품명,기가인터넷 사용,기가인터넷 이용
WifiSubscriptionYesNo,0.0028706984966993,Y,15,와이파이 공유기 사용 여부,와이파이 사용,와이파이 사용
WifiSubscriptionYesNo,0.0003515229187905,Y,16,와이파이 공유기 사용 여부,와이파이 사용,와이파이 사용
TotalOctetTransmitted_GB,0.1144744661927688,2.328007556,17,와이파이 사용 데이터 송신량,데이터 사용량 많음,인터넷 사용량이 많은 편이라 IPTV 이용에 적합합니다.
InternetProductName,0.1108151982433628,기가라이트,17,인터넷 상품명,기가인터넷 사용,기가인터넷 이용
WifiSubscriptionYesNo,0.0010985091142356,Y,17,와이파이 공유기 사용 여부,와이파이 사용,와이파이 사용
MonthlyDeviceNumber,0.050339606172638,14,18,와이파이 접속 기기 수,데이터 사용량 많음,인터넷 사용량이 많은 편이라 IPTV 이용에 적합합니다.
WifiSubscriptionYesNo,0.0003515229187905,Y,18,와이파이 공유기 사용 여부,와이파이 사용,와이파이 사용
MonthlyDeviceNumber,0.0732352906640153,12,19,와이파이 접속 기기 수,데이터 사용량 많음,인터넷 사용량이 많은 편이라 IPTV 이용에 적합합니다.
WifiSubscriptionYesNo,0.0003515229187905,Y,19,와이파이 공유기 사용 여부,와이파이 사용,와이파이 사용
InternetProductName,0.0880890533269848,기가라이트,21,인터넷 상품명,기가인터넷 사용,기가인터넷 이용
MonthlyDeviceNumber,0.0754932220172486,12,21,와이파이 접속 기기 수,데이터 사용량 많음,인터넷 사용량이 많은 편이라 IPTV 이용에 적합합니다.
WifiSubscriptionYesNo,0.0010985091142356,Y,21,와이파이 공유기 사용 여부,와이파이 사용,와이파이 사용
MaxServiceAfscrbPassoverPeriod,0.1538332371518481,92,22,서비스 가입 후 경과 기간(월),장기고객,SK 브로드밴드 장기 이용 고객
InternetProductName,0.0601159105356782,기가라이트,22,인터넷 상품명,기가인터넷 사용,기가인터넷 이용
MonthlyDeviceNumber,0.0349098763756046,16,22,와이파이 접속 기기 수,데이터 사용량 많음,인터넷 사용량이 많은 편이라 IPTV 이용에 적합합니다.
ReAgreementYesNo,1.1748437491821824,Y,23,재약정 여부,재약정함,재약정 이력이 있음
MonthlyDeviceNumber,0.065365843456675,14,23,와이파이 접속 기기 수,데이터 사용량 많음,인터넷 사용량이 많은 편이라 IPTV 이용에 적합합니다.
WifiSubscriptionYesNo,0.0001757614687085,Y,23,와이파이 공유기 사용 여부,와이파이 사용,와이파이 사용
TotalOctetReceived_GB,0.3036480292468331,194.0,24,와이파이 사용 데이터 수신량,데이터 사용량 많음,인터넷 사용량이 많은 편이라 IPTV 이용에 적합합니다.
WifiSubscriptionYesNo,0.0003515229187905,Y,24,와이파이 공유기 사용 여부,와이파이 사용,와이파이 사용
InternetProductName,0.0948752635077107,기가라이트,25,인터넷 상품명,기가인터넷 사용,기가인터넷 이용
MonthlyDeviceNumber,0.0836768568260595,12,25,와이파이 접속 기기 수,데이터 사용량 많음,인터넷 사용량이 많은 편이라 IPTV 이용에 적합합니다.
WifiSubscriptionYesNo,0.0010985091142356,Y,25,와이파이 공유기 사용 여부,와이파이 사용,와이파이 사용
TotalOctetReceived_GB,0.1120651307079242,104.0,26,와이파이 사용 데이터 수신량,데이터 사용량 많음,인터넷 사용량이 많은 편이라 IPTV 이용에 적합합니다.
WifiSubscriptionYesNo,0.0003515229187905,Y,26,와이파이 공유기 사용 여부,와이파이 사용,와이파이 사용
WifiSubscriptionYesNo,0.0003515229187905,Y,27,와이파이 공유기 사용 여부,와이파이 사용,와이파이 사용
MonthlyDeviceNumber,0.1044031233755231,11,28,와이파이 접속 기기 수,데이터 사용량 많음,인터넷 사용량이 많은 편이라 IPTV 이용에 적합합니다.
MaxServiceAfscrbPassoverPeriod,0.0293874660448636,58,28,서비스 가입 후 경과 기간(월),장기고객,SK 브로드밴드 장기 이용 고객
WifiSubscriptionYesNo,0.0003515229187905,Y,28,와이파이 공유기 사용 여부,와이파이 사용,와이파이 사용
ReAgreementYesNo,0.5242150770348962,Y,29,재약정 여부,재약정함,재약정 이력이 있음
MaxServiceAfscrbPassoverPeriod,0.2127306085592135,297,29,서비스 가입 후 경과 기간(월),장기고객,SK 브로드밴드 장기 이용 고객
InternetProductName,0.0871701411611866,기가라이트,30,인터넷 상품명,기가인터넷 사용,기가인터넷 이용
MonthlyDeviceNumber,0.081144498019421,14,30,와이파이 접속 기기 수,데이터 사용량 많음,인터넷 사용량이 많은 편이라 IPTV 이용에 적합합니다.
WifiSubscriptionYesNo,0.0010985091142356,Y,30,와이파이 공유기 사용 여부,와이파이 사용,와이파이 사용
InternetProductName,0.0659493247524369,기가라이트,31,인터넷 상품명,기가인터넷 사용,기가인터넷 이용
MaxServiceAfscrbPassoverPeriod,0.0066019182215677,82,31,서비스 가입 후 경과 기간(월),장기고객,SK 브로드밴드 장기 이용 고객
WifiSubscriptionYesNo,0.0010985091142356,Y,31,와이파이 공유기 사용 여부,와이파이 사용,와이파이 사용
MaxServiceAfscrbPassoverPeriod,0.1180653588974382,60,32,서비스 가입 후 경과 기간(월),장기고객,SK 브로드밴드 장기 이용 고객
InternetProductName,0.0416909758409019,기가,32,인터넷 상품명,기가인터넷 사용,기가인터넷 이용
TotalOctetReceived_GB,0.041139848864841,562.0,32,와이파이 사용 데이터 수신량,데이터 사용량 많음,인터넷 사용량이 많은 편이라 IPTV 이용에 적합합니다.
MaxServiceAfscrbPassoverPeriod,0.3172776401520241,67,33,서비스 가입 후 경과 기간(월),장기고객,SK 브로드밴드 장기 이용 고객
