ContractPVCName,ResidenceBuildingTypeCode,MonthlyDeviceNumber,TotalOctetReceived,TotalOctetTransmitted,Gender,ReAgreementYesNo,TransferYesNo,WifiSubscriptionYesNo,SalesSmallYesNo,InternetCount,WingsCount,MaxServiceAfscrbPassoverPeriod,MinAgreementExpirationRemainingMonthCount,MaxGeneralConsultationCount,MaxQualityConsultationCount,MaxTermConsultationCount,MaxSaleConsultationCount,MaxFeeConsultationCount,MaxEtcConsultationCount,InternetProductName,AgeGroup,iptv_yn
울산,아파트,0,0,0,M,Y,Y,N,Unknown,1,0,220,0,0,0,0,0,0,0,광랜,40대,Y
경북,아파트,0,0,0,F,N,N,N,Unknown,0,0,150,0,0,0,0,0,0,0,Unknown,50대,Y
서울,아파트,0,0,0,F,N,N,N,N,0,0,73,0,0,0,0,0,0,0,Unknown,30대,Y
부산,단독주택,0,0,0,M,N,N,N,N,0,0,24,13,0,0,0,0,0,0,Unknown,60대,Y
경기,아파트,0,0,0,M,N,N,N,Unknown,1,0,282,0,0,0,0,0,0,0,광랜,40대,N
서울,공동주택,0,0,0,F,N,N,N,N,0,0,90,0,0,0,0,0,0,0,Unknown,30대,Y
충남,아파트,0,0,0,F,Y,N,N,N,0,0,73,0,0,0,0,0,0,0,Unknown,40대,Y
경기,아파트,0,0,0,M,N,N,N,N,0,0,14,35,0,0,0,0,0,0,Unknown,60대,Y
전남,단독주택,0,0,0,F,N,N,N,N,0,0,18,19,0,0,0,0,0,0,Unknown,60대,Y
서울,아파트,0,0,0,M,N,N,N,Unknown,0,0,166,0,0,0,0,0,0,0,Unknown,40대,Y
충남,아파트,0,0,0,M,Y,Y,N,N,1,0,165,0,0,0,0,0,0,0,광랜,50대,Y
서울,공동주택,0,0,0,F,N,N,N,Unknown,0,0,159,0,0,0,0,0,0,0,Unknown,40대,Y
경기,아파트,0,0,0,F,Y,Y,N,Unknown,1,0,256,0,0,0,0,0,0,0,광랜,40대,N
대구,아파트,0,0,0,F,Y,N,N,Unknown,0,0,122,31,0,0,0,0,0,0,Unknown,60대,Y
충남,아파트,0,0,0,F,N,N,N,Y,0,0,82,0,0,0,0,0,0,0,Unknown,40대,Y
서울,아파트,0,0,0,F,N,N,N,N,0,0,88,0,0,0,0,0,0,0,Unknown,60대,Y
대전,단독주택,0,0,0,M,Y,Y,N,N,1,0,105,0,0,0,0,0,0,0,광랜,50대,Y
광주,아파트,0,0,0,M,N,N,N,N,0,0,115,0,0,0,0,0,0,0,Unknown,50대,Y
충북,단독주택,0,0,0,M,N,N,N,N,0,0,109,0,0,0,0,0,0,0,Unknown,70대,Y
경기,아파트,0,0,0,F,N,Y,N,N,1,0,110,0,0,0,1,0,0,1,기가라이트,50대,Y
인천,아파트,0,0,0,F,N,N,N,Unknown,0,0,151,0,0,0,0,0,0,0,Unknown,50대,Y
대구,아파트,0,0,0,M,N,N,N,N,0,0,97,0,0,0,0,0,0,0,Unknown,70대,Y
충남,아파트,0,0,0,F,N,N,N,N,0,0,86,0,0,0,0,0,0,0,Unknown,30대,Y
인천,공동주택,0,0,0,M,N,Y,N,N,1,0,4,33,0,0,0,0,0,0,광랜,70대,Y
경북,아파트,0,0,0,F,N,N,N,Unknown,0,0,120,0,0,0,0,0,0,0,Unknown,40대,Y
서울,아파트,0,0,0,F,N,N,N,Unknown,0,0,118,0,0,0,0,0,0,0,Unknown,50대,Y
경기,단독주택,0,0,0,M,N,N,N,N,0,0,107,0,0,0,0,0,0,0,Unknown,40대,Y
경남,일반건물,0,0,0,F,N,Y,N,Unknown,1,0,144,0,0,0,0,0,0,0,광랜,70대,N
인천,공동주택,0,0,0,F,N,N,N,N,0,0,18,19,0,0,0,0,0,0,Unknown,60대,Y
서울,단독주택,0,0,0,F,Y,N,N,Y,0,0,164,0,0,0,0,0,0,0,Unknown,40대,Y
