customer_index,features
1,"윙즈(와이파이 확장기)이용 고객, 기가인터넷 사용 고객, 와이파이 접속 기기 대수 많은 고객"
2,"기가인터넷 사용 고객, 와이파이 접속 기기 대수 많은 고객, sk브로드밴드 와이파이 공유기 사용 고객"
4,"와이파이 데이터 송신량 많은 고객, 기가인터넷 사용 고객, sk브로드밴드 와이파이 공유기 사용 고객"
5,"와이파이 접속 기기 대수 많은 고객, 기가인터넷 사용 고객, sk브로드밴드 와이파이 공유기 사용 고객"
6,"와이파이 접속 기기 대수 많은 고객, 기가인터넷 사용 고객, sk브로드밴드 와이파이 공유기 사용 고객"
7,재약정 이력이 있는 고객
8,"와이파이 데이터 송신량 많은 고객, sk브로드밴드 와이파이 공유기 사용 고객"
9,"sk 브로드밴드 장기고객, 와이파이 데이터 수신량이 많은 고객, 기가인터넷 사용 고객"
10,"기가인터넷 사용 고객, 와이파이 접속 기기 대수 많은 고객, sk브로드밴드 와이파이 공유기 사용 고객"
11,"기가인터넷 사용 고객, 와이파이 데이터 수신량이 많은 고객, sk브로드밴드 와이파이 공유기 사용 고객"
12,"sk 브로드밴드 장기고객, 와이파이 데이터 수신량이 많은 고객, 기가인터넷 사용 고객"
13,"윙즈(와이파이 확장기)이용 고객, 와이파이 데이터 수신량이 많은 고객, 기가인터넷 사용 고객"
14,기가인터넷 사용 고객
15,"와이파이 데이터 수신량이 많은 고객, 기가인터넷 사용 고객, sk브로드밴드 와이파이 공유기 사용 고객"
16,sk브로드밴드 와이파이 공유기 사용 고객
17,"와이파이 데이터 송신량 많은 고객, 기가인터넷 사용 고객, sk브로드밴드 와이파이 공유기 사용 고객"
18,"와이파이 접속 기기 대수 많은 고객, sk브로드밴드 와이파이 공유기 사용 고객"
19,"와이파이 접속 기기 대수 많은 고객, sk브로드밴드 와이파이 공유기 사용 고객"
21,"기가인터넷 사용 고객, 와이파이 접속 기기 대수 많은 고객, sk브로드밴드 와이파이 공유기 사용 고객"
22,"sk 브로드밴드 장기고객, 기가인터넷 사용 고객, 와이파이 접속 기기 대수 많은 고객"
23,"재약정 이력이 있는 고객, 와이파이 접속 기기 대수 많은 고객, sk브로드밴드 와이파이 공유기 사용 고객"
24,"와이파이 데이터 수신량이 많은 고객, sk브로드밴드 와이파이 공유기 사용 고객"
25,"기가인터넷 사용 고객, 와이파이 접속 기기 대수 많은 고객, sk브로드밴드 와이파이 공유기 사용 고객"
26,"와이파이 데이터 수신량이 많은 고객, sk브로드밴드 와이파이 공유기 사용 고객"
27,sk브로드밴드 와이파이 공유기 사용 고객
28,"와이파이 접속 기기 대수 많은 고객, sk 브로드밴드 장기고객, sk브로드밴드 와이파이 공유기 사용 고객"
29,"재약정 이력이 있는 고객, sk 브로드밴드 장기고객"
30,"기가인터넷 사용 고객, 와이파이 접속 기기 대수 많은 고객, sk브로드밴드 와이파이 공유기 사용 고객"
31,"기가인터넷 사용 고객, sk 브로드밴드 장기고객, sk브로드밴드 와이파이 공유기 사용 고객"
32,"sk 브로드밴드 장기고객, 기가인터넷 사용 고객, 와이파이 데이터 수신량이 많은 고객"
33,"sk 브로드밴드 장기고객, 기가인터넷 사용 고객, 와이파이 데이터 송신량 많은 고객"
34,"sk 브로드밴드 장기고객, 기가인터넷 사용 고객, 와이파이 접속 기기 대수 많은 고객"
35,"sk 브로드밴드 장기고객, 기가인터넷 사용 고객, sk브로드밴드 와이파이 공유기 사용 고객"
36,"기가인터넷 사용 고객, sk브로드밴드 와이파이 공유기 사용 고객"
37,"기가인터넷 사용 고객, sk브로드밴드 와이파이 공유기 사용 고객"
38,"재약정 이력이 있는 고객, 기가인터넷 사용 고객, 와이파이 데이터 수신량이 많은 고객"
39,"기가인터넷 사용 고객, sk브로드밴드 와이파이 공유기 사용 고객"
40,"와이파이 접속 기기 대수 많은 고객, sk브로드밴드 와이파이 공유기 사용 고객"
41,"sk 브로드밴드 장기고객, 재약정 이력이 있는 고객, 와이파이 접속 기기 대수 많은 고객"
42,"기가인터넷 사용 고객, 와이파이 접속 기기 대수 많은 고객, sk브로드밴드 와이파이 공유기 사용 고객"
43,"와이파이 데이터 송신량 많은 고객, 기가인터넷 사용 고객, sk브로드밴드 와이파이 공유기 사용 고객"
44,"재약정 이력이 있는 고객, sk 브로드밴드 장기고객, 기가인터넷 사용 고객"
45,"기가인터넷 사용 고객, sk브로드밴드 와이파이 공유기 사용 고객"
46,"sk 브로드밴드 장기고객, 재약정 이력이 있는 고객"
47,"재약정 이력이 있는 고객, sk 브로드밴드 장기고객, 와이파이 데이터 송신량 많은 고객"
48,"와이파이 데이터 수신량이 많은 고객, sk 브로드밴드 장기고객, 기가인터넷 사용 고객"
49,"기가인터넷 사용 고객, 와이파이 접속 기기 대수 많은 고객, sk브로드밴드 와이파이 공유기 사용 고객"
50,"기가인터넷 사용 고객, 와이파이 데이터 수신량이 많은 고객, sk브로드밴드 와이파이 공유기 사용 고객"
51,"기가인터넷 사용 고객, sk브로드밴드 와이파이 공유기 사용 고객"
52,"sk 브로드밴드 장기고객, 기가인터넷 사용 고객, sk브로드밴드 와이파이 공유기 사용 고객"
53,"재약정 이력이 있는 고객, sk 브로드밴드 장기고객, 와이파이 데이터 송신량 많은 고객"
54,"기가인터넷 사용 고객, 와이파이 접속 기기 대수 많은 고객, sk브로드밴드 와이파이 공유기 사용 고객"
55,"와이파이 데이터 수신량이 많은 고객, 기가인터넷 사용 고객, sk브로드밴드 와이파이 공유기 사용 고객"
56,"와이파이 데이터 송신량 많은 고객, 기가인터넷 사용 고객, sk브로드밴드 와이파이 공유기 사용 고객"
57,"기가인터넷 사용 고객, 와이파이 데이터 송신량 많은 고객, sk브로드밴드 와이파이 공유기 사용 고객"
