ContractPVCName,ResidenceBuildingTypeCode,MonthlyDeviceNumber,TotalOctetReceived,TotalOctetTransmitted,Gender,ReAgreementYesNo,TransferYesNo,WifiSubscriptionYesNo,SalesSmallYesNo,InternetCount,WingsCount,MaxServiceAfscrbPassoverPeriod,MinAgreementExpirationRemainingMonthCount,MaxGeneralConsultationCount,MaxQualityConsultationCount,MaxTermConsultationCount,MaxSaleConsultationCount,MaxFeeConsultationCount,MaxEtcConsultationCount,InternetProductName,AgeGroup,iptv_yn
10,2,-0.34954730023533004,-0.2744240920023839,-0.22382148267331547,2,1,1,0,1,0.8227362047323793,-0.1839178886561949,2.370589496843434,-0.7481566910164584,0,0,0,0,0,0,2,4,1
3,2,-0.34954730023533004,-0.2744240920023839,-0.22382148267331547,1,0,0,0,1,-1.1791867490392305,-0.1839178886561949,1.246313133663358,-0.7481566910164584,0,0,0,0,0,0,0,5,1
8,2,-0.34954730023533004,-0.2744240920023839,-0.22382148267331547,1,0,0,0,0,-1.1791867490392305,-0.1839178886561949,0.009609134165274355,-0.7481566910164584,0,0,0,0,0,0,0,3,1
7,1,-0.34954730023533004,-0.2744240920023839,-0.22382148267331547,2,0,0,0,0,-1.1791867490392305,-0.1839178886561949,-0.7773843200607788,0.3550176992876678,0,0,0,0,0,0,0,6,1
1,2,-0.34954730023533004,-0.2744240920023839,-0.22382148267331547,2,0,0,0,1,0.8227362047323793,-0.1839178886561949,3.36637713280293,-0.7481566910164584,0,0,0,0,0,0,2,4,0
8,3,-0.34954730023533004,-0.2744240920023839,-0.22382148267331547,1,0,0,0,0,-1.1791867490392305,-0.1839178886561949,0.2826476795090071,-0.7481566910164584,0,0,0,0,0,0,0,3,1
15,2,-0.34954730023533004,-0.2744240920023839,-0.22382148267331547,1,1,0,0,0,-1.1791867490392305,-0.1839178886561949,0.009609134165274355,-0.7481566910164584,0,0,0,0,0,0,0,4,1
1,2,-0.34954730023533004,-0.2744240920023839,-0.22382148267331547,2,0,0,0,0,-1.1791867490392305,-0.1839178886561949,-0.937995229086504,2.221928205956189,0,0,0,0,0,0,0,6,1
12,1,-0.34954730023533004,-0.2744240920023839,-0.22382148267331547,1,0,0,0,0,-1.1791867490392305,-0.1839178886561949,-0.873750865476214,0.8641751101972646,0,0,0,0,0,0,0,6,1
8,2,-0.34954730023533004,-0.2744240920023839,-0.22382148267331547,2,0,0,0,1,-1.1791867490392305,-0.1839178886561949,1.5032905881045182,-0.7481566910164584,0,0,0,0,0,0,0,4,1
15,2,-0.34954730023533004,-0.2744240920023839,-0.22382148267331547,2,1,1,0,0,0.8227362047323793,-0.1839178886561949,1.4872294972019457,-0.7481566910164584,0,0,0,0,0,0,2,5,1
8,3,-0.34954730023533004,-0.2744240920023839,-0.22382148267331547,1,0,0,0,1,-1.1791867490392305,-0.1839178886561949,1.3908629517865105,-0.7481566910164584,0,0,0,0,0,0,0,4,1
1,2,-0.34954730023533004,-0.2744240920023839,-0.22382148267331547,1,1,1,0,1,0.8227362047323793,-0.1839178886561949,2.9487887693360446,-0.7481566910164584,0,0,0,0,0,0,2,4,0
5,2,-0.34954730023533004,-0.2744240920023839,-0.22382148267331547,1,1,0,0,1,-1.1791867490392305,-0.1839178886561949,0.7966025883913276,1.882489932016458,0,0,0,0,0,0,0,6,1
15,2,-0.34954730023533004,-0.2744240920023839,-0.22382148267331547,1,0,0,0,2,-1.1791867490392305,-0.1839178886561949,0.154158952288427,-0.7481566910164584,0,0,0,0,0,0,0,4,1
8,2,-0.34954730023533004,-0.2744240920023839,-0.22382148267331547,1,0,0,0,0,-1.1791867490392305,-0.1839178886561949,0.25052549770386207,-0.7481566910164584,0,0,0,0,0,0,0,6,1
6,1,-0.34954730023533004,-0.2744240920023839,-0.22382148267331547,2,1,1,0,0,0.8227362047323793,-0.1839178886561949,0.5235640430475949,-0.7481566910164584,0,0,0,0,0,0,2,5,1
4,2,-0.34954730023533004,-0.2744240920023839,-0.22382148267331547,2,0,0,0,0,-1.1791867490392305,-0.1839178886561949,0.6841749520733199,-0.7481566910164584,0,0,0,0,0,0,0,5,1
16,1,-0.34954730023533004,-0.2744240920023839,-0.22382148267331547,2,0,0,0,0,-1.1791867490392305,-0.1839178886561949,0.5878084066578849,-0.7481566910164584,0,0,0,0,0,0,0,7,1
1,2,-0.34954730023533004,-0.2744240920023839,-0.22382148267331547,1,0,1,0,0,0.8227362047323793,-0.1839178886561949,0.6038694975604574,-0.7481566910164584,0,0,1,0,0,1,4,5,1
11,2,-0.34954730023533004,-0.2744240920023839,-0.22382148267331547,1,0,0,0,1,-1.1791867490392305,-0.1839178886561949,1.2623742245659304,-0.7481566910164584,0,0,0,0,0,0,0,5,1
